// Output Data File:
//
// FILENAME 2BusTestCase.out
//
// CASE FILENAME :
2BusTestCase.dat

//  iNodeNumber	  iBranchNumber	     iGenNumber	     iLSENumber
              2	              1	              2	              1
// iMaxDay
       3
#GeneratorSupplyOfferDataStart
//  Day	GenCo Name	     aR ($/MWh)	    bR ($/MW2h)	     CapRL (MW)	     CapRU (MW)
    9	   12	801.00	  0.00
   10	    1	801.00	  0.00
   10	    2	801.00	  0.00
   10	    3	801.00	  0.00
   10	    4	801.00	  0.00
   10	    5	801.00	  0.00
   10	    6	801.00	  0.00
   10	    7	801.00	  0.00
   10	    8	801.00	  0.00
   10	    9	801.00	  0.00
   10	   10	801.00	  0.00
   10	   11	801.00	  0.00
   10	   12	801.00	  0.00
   11	    1	801.00	  0.00
   11	    2	801.00	  0.00
   11	    3	801.00	  0.00
   11	    4	801.00	  0.00
   11	    5	801.00	  0.00
   11	    6	801.00	  0.00
   11	    7	801.00	  0.00
   11	    8	801.00	  0.00
   11	    9	801.00	  0.00
   11	   10	801.00	  0.00
   11	   11	801.00	  0.00
   11	   12	801.00	  0.00
   12	    1	801.00	  0.00
   12	    2	801.00	  0.00
   12	    3	801.00	  0.00
   12	    4	801.00	  0.00
   12	    5	801.00	  0.00
   12	    6	801.00	  0.00
   12	    7	801.00	  0.00
   12	    8	801.00	  0.00
   12	    9	801.00	  0.00
   12	   10	801.00	  0.00
   12	   11	801.00	  0.00
   12	   12	801.00	  0.00
   13	    1	801.00	  0.00
   13	    2	801.00	  0.00
   13	    3	801.00	  0.00
   13	    4	801.00	  0.00
   13	    5	801.00	  0.00
   13	    6	801.00	  0.00
   13	    7	801.00	  0.00
   13	    8	801.00	  0.00
   13	    9	801.00	  0.00
   13	   10	801.00	  0.00
   13	   11	801.00	  0.00
   13	   12	801.00	  0.00
   14	    1	801.00	  0.00
   14	    2	801.00	  0.00
   14	    3	801.00	  0.00
   14	    4	801.00	  0.00
   14	    5	801.00	  0.00
   14	    6	801.00	  0.00
   14	    7	801.00	  0.00
   14	    8	801.00	  0.00
   14	    9	801.00	  0.00
   14	   10	801.00	  0.00
   14	   11	801.00	  0.00
   14	   12	801.00	  0.00
   15	    1	801.00	  0.00
   15	    2	801.00	  0.00
   15	    3	801.00	  0.00
   15	    4	801.00	  0.00
   15	    5	801.00	  0.00
   15	    6	801.00	  0.00
   15	    7	801.00	  0.00
   15	    8	801.00	  0.00
   15	    9	801.00	  0.00
   15	   10	801.00	  0.00
   15	   11	801.00	  0.00
   15	   12	801.00	  0.00
   16	    1	801.00	  0.00
   16	    2	801.00	  0.00
   16	    3	801.00	  0.00
   16	    4	801.00	  0.00
   16	    5	801.00	  0.00
   16	    6	801.00	  0.00
   16	    7	801.00	  0.00
   16	    8	801.00	  0.00
   16	    9	801.00	  0.00
   16	   10	801.00	  0.00
   16	   11	801.00	  0.00
   16	   12	801.00	  0.00
   17	    1	801.00	  0.00
   17	    2	801.00	  0.00
   17	    3	801.00	  0.00
   17	    4	801.00	  0.00
   17	    5	801.00	  0.00
   17	    6	801.00	  0.00
   17	    7	801.00	  0.00
   17	    8	801.00	  0.00
   17	    9	801.00	  0.00
   17	   10	801.00	  0.00
   17	   11	801.00	  0.00
   17	   12	801.00	  0.00
   18	    1	801.00	  0.00
   18	    2	801.00	  0.00
   18	    3	801.00	  0.00
   18	    4	801.00	  0.00
   18	    5	801.00	  0.00
   18	    6	801.00	  0.00
   18	    7	801.00	  0.00
   18	    8	801.00	  0.00
   18	    9	801.00	  0.00
   18	   10	801.00	  0.00
   18	   11	801.00	  0.00
   18	   12	801.00	  0.00
   19	    1	801.00	  0.00
   19	    2	801.00	  0.00
   19	    3	801.00	  0.00
   19	    4	801.00	  0.00
   19	    5	801.00	  0.00
   19	    6	801.00	  0.00
   19	    7	801.00	  0.00
   19	    8	801.00	  0.00
   19	    9	801.00	  0.00
   19	   10	801.00	  0.00
   19	   11	801.00	  0.00
   19	   12	801.00	  0.00
   20	    1	801.00	  0.00
   20	    2	801.00	  0.00
   20	    3	801.00	  0.00
   20	    4	801.00	  0.00
   20	    5	801.00	  0.00
   20	    6	801.00	  0.00
   20	    7	801.00	  0.00
   20	    8	801.00	  0.00
   20	    9	801.00	  0.00
   20	   10	801.00	  0.00
   20	   11	801.00	  0.00
   20	   12	801.00	  0.00
   21	    1	801.00	  0.00
