// Output Data File:
//
// FILENAME 2BusTestCase.out
//
// CASE FILENAME :
2BusTestCase.dat

//  iNodeNumber	  iBranchNumber	     iGenNumber	     iLSENumber
              2	              1	              2	              1
// iMaxDay
       3
#GeneratorSupplyOfferDataStart
//  Day	GenCo Name	     aR ($/MWh)	    bR ($/MW2h)	     CapRL (MW)	     CapRU (MW)
    9	   12	 12.70	 12.70
   10	    1	 12.70	 12.70
   10	    2	 12.70	 12.70
   10	    3	 12.70	 12.70
   10	    4	 12.70	 12.70
   10	    5	 12.70	 12.70
   10	    6	 12.70	 12.70
   10	    7	 12.70	 12.70
   10	    8	 12.70	 12.70
   10	    9	 12.70	 12.70
   10	   10	 12.70	 12.70
   10	   11	 12.70	 12.70
   10	   12	 12.70	 12.70
   11	    1	 12.70	 12.70
   11	    2	 12.70	 12.70
   11	    3	 12.70	 12.70
   11	    4	 12.70	 12.70
   11	    5	 12.70	 12.70
   11	    6	 12.70	 12.70
   11	    7	 12.70	 12.70
   11	    8	 12.70	 12.70
   11	    9	 12.70	 12.70
   11	   10	 12.70	 12.70
   11	   11	 12.70	 12.70
   11	   12	 12.70	 12.70
   12	    1	 12.70	 12.70
   12	    2	 12.70	 12.70
   12	    3	 12.70	 12.70
   12	    4	 12.70	 12.70
   12	    5	 12.70	 12.70
   12	    6	 12.70	 12.70
   12	    7	 12.70	 12.70
   12	    8	 12.70	 12.70
   12	    9	 12.70	 12.70
   12	   10	 12.70	 12.70
   12	   11	 12.70	 12.70
   12	   12	 12.70	 12.70
   13	    1	 12.70	 12.70
   13	    2	 12.70	 12.70
   13	    3	 12.70	 12.70
   13	    4	 12.70	 12.70
   13	    5	 12.70	 12.70
   13	    6	 12.70	 12.70
   13	    7	 12.70	 12.70
   13	    8	 12.70	 12.70
   13	    9	 12.70	 12.70
   13	   10	 12.70	 12.70
   13	   11	 12.70	 12.70
   13	   12	 12.70	 12.70
   14	    1	 12.70	 12.70
   14	    2	 12.70	 12.70
   14	    3	 12.70	 12.70
   14	    4	 12.70	 12.70
   14	    5	 12.70	 12.70
   14	    6	 12.70	 12.70
   14	    7	 12.70	 12.70
   14	    8	 12.70	 12.70
   14	    9	 12.70	 12.70
   14	   10	 12.70	 12.70
   14	   11	 12.70	 12.70
   14	   12	 12.70	 12.70
   15	    1	 12.70	 12.70
   15	    2	 12.70	 12.70
   15	    3	 12.70	 12.70
   15	    4	 12.70	 12.70
   15	    5	 12.70	 12.70
   15	    6	 12.70	 12.70
   15	    7	 12.70	 12.70
   15	    8	 12.70	 12.70
   15	    9	 12.70	 12.70
   15	   10	 12.70	 12.70
   15	   11	 12.70	 12.70
   15	   12	 12.70	 12.70
   16	    1	 12.70	 12.70
   16	    2	 12.70	 12.70
   16	    3	 12.70	 12.70
   16	    4	 12.70	 12.70
   16	    5	 12.70	 12.70
   16	    6	 12.70	 12.70
   16	    7	 12.70	 12.70
   16	    8	 12.70	 12.70
   16	    9	 12.70	 12.70
   16	   10	 12.70	 12.70
   16	   11	 12.70	 12.70
   16	   12	 12.70	 12.70
   17	    1	 12.70	 12.70
   17	    2	 12.70	 12.70
   17	    3	 12.70	 12.70
   17	    4	 12.70	 12.70
   17	    5	 12.70	 12.70
   17	    6	 12.70	 12.70
   17	    7	 12.70	 12.70
   17	    8	 12.70	 12.70
   17	    9	 12.70	 12.70
   17	   10	 12.70	 12.70
   17	   11	 12.70	 12.70
   17	   12	 12.70	 12.70
   18	    1	 12.70	 12.70
   18	    2	 12.70	 12.70
   18	    3	 12.70	 12.70
   18	    4	 12.70	 12.70
   18	    5	 12.70	 12.70
   18	    6	 12.70	 12.70
   18	    7	 12.70	 12.70
   18	    8	 12.70	 12.70
   18	    9	 12.70	 12.70
   18	   10	 12.70	 12.70
   18	   11	 12.70	 12.70
   18	   12	 12.70	 12.70
   19	    1	 12.70	 12.70
   19	    2	 12.70	 12.70
   19	    3	 12.70	 12.70
   19	    4	 12.70	 12.70
   19	    5	 12.70	 12.70
   19	    6	 12.70	 12.70
   19	    7	 12.70	 12.70
   19	    8	 12.70	 12.70
   19	    9	 12.70	 12.70
   19	   10	 12.70	 12.70
   19	   11	 12.70	 12.70
   19	   12	 12.70	 12.70
   20	    1	 12.70	 12.70
   20	    2	 12.70	 12.70
   20	    3	 12.70	 12.70
   20	    4	 12.70	 12.70
   20	    5	 12.70	 12.70
   20	    6	 12.70	 12.70
   20	    7	 12.70	 12.70
   20	    8	 12.70	 12.70
   20	    9	 12.70	 12.70
   20	   10	 12.70	 12.70
   20	   11	 12.70	 12.70
   20	   12	 12.70	 12.70
   21	    1	 12.70	 12.70
   21	    2	 12.70	 12.70
   21	    3	 12.70	 12.70
   21	    4	 12.70	 12.70
   21	    5	 12.70	 12.70
   21	    6	 12.70	 12.70
   21	    7	 12.70	 12.70
   21	    8	 12.70	 12.70
   21	    9	 12.70	 12.70
   21	   10	 12.70	 12.70
   21	   11	 12.70	 12.70
   21	   12	 12.70	 12.70
   22	    1	 12.70	 12.70
   22	    2	 12.70	 12.70
   22	    3	 12.70	 12.70
   22	    4	 12.70	 12.70
   22	    5	 12.70	 12.70
   22	    6	 12.70	 12.70
   22	    7	 12.70	 12.70
   22	    8	 12.70	 12.70
   22	    9	 12.70	 12.70
   22	   10	 12.70	 12.70
   22	   11	 12.70	 12.70
   22	   12	 12.70	 12.70
   23	    1	 12.70	 12.70
   23	    2	 12.70	 12.70
   23	    3	 12.70	 12.70
   23	    4	 12.70	 12.70
   23	    5	 12.70	 12.70
   23	    6	 12.70	 12.70
   23	    7	 12.70	 12.70
   23	    8	 12.70	 12.70
   23	    9	 12.70	 12.70
   23	   10	 12.70	 12.70
   23	   11	 12.70	 12.70
   23	   12	 12.70	 12.70
   24	    1	 12.70	 12.70
   24	    2	 12.70	 12.70
   24	    3	 12.70	 12.70
   24	    4	 12.70	 12.70
   24	    5	 12.70	 12.70
   24	    6	 12.70	 12.70
   24	    7	 12.70	 12.70
   24	    8	 12.70	 12.70
   24	    9	 12.70	 12.70
   24	   10	 12.70	 12.70
   24	   11	 12.70	 12.70
   24	   12	 12.70	 12.70
   25	    1	 12.70	 12.70
   25	    2	 12.70	 12.70
   25	    3	 12.70	 12.70
   25	    4	 12.70	 12.70
   25	    5	 12.70	 12.70
   25	    6	 12.70	 12.70
   25	    7	 12.70	 12.70
   25	    8	 12.70	 12.70
   25	    9	 12.70	 12.70
   25	   10	 12.70	 12.70
   25	   11	 12.70	 12.70
   25	   12	 12.70	 12.70
   26	    1	 12.70	 12.70
   26	    2	 12.70	 12.70
   26	    3	 12.70	 12.70
   26	    4	 12.70	 12.70
   26	    5	 12.70	 12.70
   26	    6	 12.70	 12.70
   26	    7	 12.70	 12.70
   26	    8	 12.70	 12.70
   26	    9	 12.70	 12.70
   26	   10	 12.70	 12.70
   26	   11	 12.70	 12.70
   26	   12	 12.70	 12.70
   27	    1	 12.70	 12.70
   27	    2	 12.70	 12.70
   27	    3	 12.70	 12.70
   27	    4	 12.70	 12.70
   27	    5	 12.70	 12.70
   27	    6	 12.70	 12.70
   27	    7	 12.70	 12.70
   27	    8	 12.70	 12.70
   27	    9	 12.70	 12.70
   27	   10	 12.70	 12.70
   27	   11	 12.70	 12.70
   27	   12	 12.70	 12.70
   28	    1	 12.70	 12.70
   28	    2	 12.70	 12.70
   28	    3	 12.70	 12.70
   28	    4	 12.70	 12.70
   28	    5	 12.70	 12.70
   28	    6	 12.70	 12.70
   28	    7	 12.70	 12.70
   28	    8	 12.70	 12.70
   28	    9	 12.70	 12.70
   28	   10	 12.70	 12.70
   28	   11	 12.70	 12.70
   28	   12	 12.70	 12.70
   29	    1	 12.70	 12.70
   29	    2	 12.70	 12.70
   29	    3	 12.70	 12.70
   29	    4	 12.70	 12.70
   29	    5	 12.70	 12.70
   29	    6	 12.70	 12.70
   29	    7	 12.70	 12.70
   29	    8	 12.70	 12.70
   29	    9	 12.70	 12.70
   29	   10	 12.70	 12.70
   29	   11	 12.70	 12.70
   29	   12	 12.70	 12.70
   30	    1	 12.70	 12.70
   30	    2	 12.70	 12.70
   30	    3	 12.70	 12.70
   30	    4	 12.70	 12.70
   30	    5	 12.70	 12.70
   30	    6	 12.70	 12.70
   30	    7	 12.70	 12.70
   30	    8	 12.70	 12.70
   30	    9	 12.70	 12.70
   30	   10	 12.70	 12.70
   30	   11	 12.70	 12.70
   30	   12	 12.70	 12.70
   31	    1	 12.70	 12.70
   31	    2	 12.70	 12.70
   31	    3	 12.70	 12.70
   31	    4	 12.70	 12.70
   31	    5	 12.70	 12.70
   31	    6	 12.70	 12.70
   31	    7	 12.70	 12.70
   31	    8	 12.70	 12.70
   31	    9	 12.70	 12.70
   31	   10	 12.70	 12.70
   31	   11	 12.70	 12.70
   31	   12	 12.70	 12.70
   32	    1	 12.70	 12.70
   32	    2	 12.70	 12.70
   32	    3	 12.70	 12.70
   32	    4	 12.70	 12.70
   32	    5	 12.70	 12.70
   32	    6	 12.70	 12.70
   32	    7	 12.70	 12.70
   32	    8	 12.70	 12.70
   32	    9	 12.70	 12.70
   32	   10	 12.70	 12.70
   32	   11	 12.70	 12.70
   32	   12	 12.70	 12.70
   33	    1	 12.70	 12.70
   33	    2	 12.70	 12.70
   33	    3	 12.70	 12.70
   33	    4	 12.70	 12.70
   33	    5	 12.70	 12.70
   33	    6	 12.70	 12.70
   33	    7	 12.70	 12.70
   33	    8	 12.70	 12.70
   33	    9	 12.70	 12.70
   33	   10	 12.70	 12.70
   33	   11	 12.70	 12.70
   33	   12	 12.70	 12.70
   34	    1	 12.70	 12.70
   34	    2	 12.70	 12.70
   34	    3	 12.70	 12.70
   34	    4	 12.70	 12.70
   34	    5	 12.70	 12.70
   34	    6	 12.70	 12.70
   34	    7	 12.70	 12.70
   34	    8	 12.70	 12.70
   34	    9	 12.70	 12.70
   34	   10	 12.70	 12.70
   34	   11	 12.70	 12.70
   34	   12	 12.70	 12.70
   35	    1	 12.70	 12.70
   35	    2	 12.70	 12.70
   35	    3	 12.70	 12.70
   35	    4	 12.70	 12.70
   35	    5	 12.70	 12.70
   35	    6	 12.70	 12.70
   35	    7	 12.70	 12.70
   35	    8	 12.70	 12.70
   35	    9	 12.70	 12.70
   35	   10	 12.70	 12.70
   35	   11	 12.70	 12.70
   35	   12	 12.70	 12.70
   36	    1	 12.70	 12.70
   36	    2	 12.70	 12.70
   36	    3	 12.70	 12.70
   36	    4	 12.70	 12.70
   36	    5	 12.70	 12.70
   36	    6	 12.70	 12.70
   36	    7	 12.70	 12.70
   36	    8	 12.70	 12.70
   36	    9	 12.70	 12.70
   36	   10	 12.70	 12.70
   36	   11	 12.70	 12.70
   36	   12	 12.70	 12.70
   37	    1	 12.70	 12.70
   37	    2	 12.70	 12.70
   37	    3	 12.70	 12.70
   37	    4	 12.70	 12.70
   37	    5	 12.70	 12.70
   37	    6	 12.70	 12.70
   37	    7	 12.70	 12.70
   37	    8	 12.70	 12.70
   37	    9	 12.70	 12.70
   37	   10	 12.70	 12.70
   37	   11	 12.70	 12.70
   37	   12	 12.70	 12.70
   38	    1	 12.70	 12.70
   38	    2	 12.70	 12.70
   38	    3	 12.70	 12.70
   38	    4	 12.70	 12.70
   38	    5	 12.70	 12.70
   38	    6	 12.70	 12.70
   38	    7	 12.70	 12.70
   38	    8	 12.70	 12.70
   38	    9	 12.70	 12.70
   38	   10	 12.70	 12.70
   38	   11	 12.70	 12.70
   38	   12	 12.70	 12.70
   39	    1	 12.70	 12.70
   39	    2	 12.70	 12.70
   39	    3	 12.70	 12.70
   39	    4	 12.70	 12.70
   39	    5	 12.70	 12.70
   39	    6	 12.70	 12.70
   39	    7	 12.70	 12.70
   39	    8	 12.70	 12.70
   39	    9	 12.70	 12.70
   39	   10	 12.70	 12.70
   39	   11	 12.70	 12.70
   39	   12	 12.70	 12.70
   40	    1	 12.70	 12.70
   40	    2	 12.70	 12.70
   40	    3	 12.70	 12.70
   40	    4	 12.70	 12.70
   40	    5	 12.70	 12.70
   40	    6	 12.70	 12.70
   40	    7	 12.70	 12.70
   40	    8	 12.70	 12.70
   40	    9	 12.70	 12.70
   40	   10	 12.70	 12.70
   40	   11	 12.70	 12.70
   40	   12	 12.70	 12.70
   41	    1	 12.70	 12.70
   41	    2	 12.70	 12.70
   41	    3	 12.70	 12.70
   41	    4	 12.70	 12.70
   41	    5	 12.70	 12.70
   41	    6	 12.70	 12.70
   41	    7	 12.70	 12.70
   41	    8	 12.70	 12.70
   41	    9	 12.70	 12.70
   41	   10	 12.70	 12.70
   41	   11	 12.70	 12.70
   41	   12	 12.70	 12.70
   42	    1	 12.70	 12.70
   42	    2	 12.70	 12.70
   42	    3	 12.70	 12.70
   42	    4	 12.70	 12.70
   42	    5	 12.70	 12.70
   42	    6	 12.70	 12.70
   42	    7	 12.70	 12.70
   42	    8	 12.70	 12.70
   42	    9	 12.70	 12.70
   42	   10	 12.70	 12.70
   42	   11	 12.70	 12.70
   42	   12	 12.70	 12.70
   43	    1	 12.70	 12.70
   43	    2	 12.70	 12.70
   43	    3	 12.70	 12.70
   43	    4	 12.70	 12.70
   43	    5	 12.70	 12.70
   43	    6	 12.70	 12.70
   43	    7	 12.70	 12.70
   43	    8	 12.70	 12.70
   43	    9	 12.70	 12.70
   43	   10	 12.70	 12.70
   43	   11	 12.70	 12.70
   43	   12	 12.70	 12.70
   44	    1	 12.70	 12.70
   44	    2	 12.70	 12.70
   44	    3	 12.70	 12.70
   44	    4	 12.70	 12.70
   44	    5	 12.70	 12.70
   44	    6	 12.70	 12.70
   44	    7	 12.70	 12.70
   44	    8	 12.70	 12.70
   44	    9	 12.70	 12.70
   44	   10	 12.70	 12.70
   44	   11	 12.70	 12.70
   44	   12	 12.70	 12.70
   45	    1	 12.70	 12.70
   45	    2	 12.70	 12.70
   45	    3	 12.70	 12.70
   45	    4	 12.70	 12.70
   45	    5	 12.70	 12.70
   45	    6	 12.70	 12.70
   45	    7	 12.70	 12.70
   45	    8	 12.70	 12.70
   45	    9	 12.70	 12.70
   45	   10	 12.70	 12.70
   45	   11	 12.70	 12.70
   45	   12	 12.70	 12.70
   46	    1	 12.70	 12.70
   46	    2	 12.70	 12.70
   46	    3	 12.70	 12.70
   46	    4	 12.70	 12.70
   46	    5	 12.70	 12.70
   46	    6	 12.70	 12.70
   46	    7	 12.70	 12.70
   46	    8	 12.70	 12.70
   46	    9	 12.70	 12.70
   46	   10	 12.70	 12.70
   46	   11	 12.70	 12.70
   46	   12	 12.70	 12.70
   47	    1	 12.70	 12.70
   47	    2	 12.70	 12.70
   47	    3	 12.70	 12.70
   47	    4	 12.70	 12.70
   47	    5	 12.70	 12.70
   47	    6	 12.70	 12.70
   47	    7	 12.70	 12.70
   47	    8	 12.70	 12.70
   47	    9	 12.70	 12.70
   47	   10	 12.70	 12.70
   47	   11	 12.70	 12.70
   47	   12	 12.70	 12.70
   48	    1	 12.70	 12.70
   48	    2	 12.70	 12.70
   48	    3	 12.70	 12.70
   48	    4	 12.70	 12.70
   48	    5	 12.70	 12.70
   48	    6	 12.70	 12.70
   48	    7	 12.70	 12.70
   48	    8	 12.70	 12.70
   48	    9	 12.70	 12.70
   48	   10	 12.70	 12.70
   48	   11	 12.70	 12.70
   48	   12	 12.70	 12.70
#NodeRealTimeLMPDataEnd




StopCode=	              0

